
2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:2), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0107s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:3), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0096s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:4), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0053s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:5), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0039s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:6), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0039s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:7), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0040s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:8), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0047s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:9), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0040s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:2), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0071s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:3), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0071s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:4), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0050s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:5), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0054s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:6), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0052s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:7), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0055s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:8), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0052s

2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.2,min_samples:9), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0055s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:2), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0073s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:3), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0019s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:4), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0018s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:5), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0018s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:6), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0020s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:7), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0020s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:8), n_clusters=2, nmi=0.0242, ari=0.0128, ami=0.0164, time_cost=0.0018s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.1,min_samples:9), n_clusters=2, nmi=0.8902, ari=0.9495, ami=0.8894, time_cost=0.0017s

