
2022-12-09 03:26:21: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=8, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.9140s

2022-12-09 03:26:39: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=27, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.7021s

2022-12-09 03:26:47: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=37, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5381s

2022-12-09 03:26:49: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=39, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4881s

2022-12-09 03:26:49: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=40, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5379s

2022-12-09 03:26:50: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=41, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5354s

2022-12-09 03:26:51: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=42, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5412s

2022-12-09 03:26:51: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=43, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.5319s

2022-12-09 03:26:52: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=44, n_clusters=15, nmi=0.9914, ari=0.9892, ami=0.9907, time_cost=0.5394s

2022-12-09 03:26:52: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=45, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4789s

2022-12-09 03:26:53: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=46, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4797s

2022-12-09 03:26:53: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=47, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5372s

2022-12-09 03:26:54: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=48, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5381s

2022-12-09 03:26:54: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=49, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.5358s

2022-12-09 03:26:55: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=50, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5349s

2022-12-09 03:26:55: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=51, n_clusters=15, nmi=0.9696, ari=0.9105, ami=0.9673, time_cost=0.4854s

2022-12-09 03:26:56: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=52, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.5334s

2022-12-09 03:26:56: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=53, n_clusters=15, nmi=0.9694, ari=0.9089, ami=0.9671, time_cost=0.4807s

2022-12-09 03:26:57: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=54, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.5321s

2022-12-09 03:26:57: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=55, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4843s

2022-12-09 03:26:58: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=56, n_clusters=15, nmi=0.9696, ari=0.9105, ami=0.9673, time_cost=0.4812s

2022-12-09 03:26:58: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=57, n_clusters=15, nmi=0.9579, ari=0.8936, ami=0.9548, time_cost=0.4779s

2022-12-09 03:26:59: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=58, n_clusters=15, nmi=0.9876, ari=0.9821, ami=0.9867, time_cost=0.5388s

2022-12-09 03:26:59: R15 datasets process: alg_name=FINCH, shape=(600, 2), k_neighbors=59, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5409s

2022-12-09 03:27:21: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=15, n_clusters=15, nmi=0.9236, ari=0.8726, ami=0.9230, time_cost=1.1547s

2022-12-09 03:27:23: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=16, n_clusters=15, nmi=0.9338, ari=0.9147, ami=0.9333, time_cost=1.1199s

2022-12-09 03:27:24: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=17, n_clusters=15, nmi=0.9361, ari=0.9210, ami=0.9356, time_cost=1.1715s

2022-12-09 03:27:25: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=18, n_clusters=15, nmi=0.9425, ari=0.9306, ami=0.9421, time_cost=1.1387s

2022-12-09 03:27:26: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=19, n_clusters=15, nmi=0.9425, ari=0.9304, ami=0.9420, time_cost=1.2887s

2022-12-09 03:27:27: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=20, n_clusters=15, nmi=0.9205, ari=0.8719, ami=0.9199, time_cost=1.1488s

2022-12-09 03:27:29: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=21, n_clusters=15, nmi=0.9373, ari=0.9189, ami=0.9369, time_cost=1.1512s

2022-12-09 03:27:30: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=22, n_clusters=15, nmi=0.9423, ari=0.9288, ami=0.9419, time_cost=1.1415s

2022-12-09 03:27:31: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=23, n_clusters=15, nmi=0.9380, ari=0.9212, ami=0.9375, time_cost=1.1253s

2022-12-09 03:27:32: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=24, n_clusters=15, nmi=0.9414, ari=0.9288, ami=0.9410, time_cost=1.1166s

2022-12-09 03:27:33: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=25, n_clusters=15, nmi=0.9367, ari=0.9163, ami=0.9362, time_cost=1.2498s

2022-12-09 03:27:34: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=26, n_clusters=15, nmi=0.9391, ari=0.9251, ami=0.9386, time_cost=1.1254s

2022-12-09 03:27:36: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=27, n_clusters=15, nmi=0.9393, ari=0.9248, ami=0.9388, time_cost=1.1511s

2022-12-09 03:27:37: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=28, n_clusters=15, nmi=0.9334, ari=0.9138, ami=0.9329, time_cost=1.1389s

2022-12-09 03:27:38: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=29, n_clusters=15, nmi=0.9394, ari=0.9259, ami=0.9390, time_cost=1.1203s

2022-12-09 03:27:39: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=30, n_clusters=15, nmi=0.9406, ari=0.9266, ami=0.9402, time_cost=1.1642s

2022-12-09 03:27:40: S2 datasets process: alg_name=FINCH, shape=(5000, 2), k_neighbors=31, n_clusters=15, nmi=0.9410, ari=0.9268, ami=0.9406, time_cost=1.2528s

