
2022-12-05 18:32:23: mnist_784 datasets process:  alg_name=FastDEC, shape=(70000, 784), k_neighbors=50, n_clusters=10, nmi=0.6287, ari=0.3926, ami=0.6286, time_cost=6876.2529s

2022-12-06 02:13:54: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=10, n_clusters=10, nmi=0.5704, ari=0.3062, ami=0.5703, time_cost=88.5599s

2022-12-06 02:14:28: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=20, n_clusters=10, nmi=0.5912, ari=0.3415, ami=0.5911, time_cost=33.6301s

2022-12-06 02:14:47: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=30, n_clusters=10, nmi=0.6604, ari=0.4520, ami=0.6603, time_cost=18.9842s

2022-12-06 02:15:01: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=40, n_clusters=10, nmi=0.6174, ari=0.3847, ami=0.6173, time_cost=13.7690s

2022-12-06 02:15:12: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=50, n_clusters=10, nmi=0.6287, ari=0.3926, ami=0.6286, time_cost=11.5755s

2022-12-06 02:15:23: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=60, n_clusters=10, nmi=0.6308, ari=0.4022, ami=0.6307, time_cost=10.1500s

2022-12-06 02:15:32: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=70, n_clusters=10, nmi=0.6263, ari=0.4067, ami=0.6262, time_cost=9.1274s

2022-12-06 02:15:40: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=80, n_clusters=10, nmi=0.5973, ari=0.3513, ami=0.5972, time_cost=7.8988s

2022-12-06 02:15:47: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=90, n_clusters=10, nmi=0.6043, ari=0.3796, ami=0.6042, time_cost=7.1502s

2022-12-06 02:15:54: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=100, n_clusters=10, nmi=0.6080, ari=0.3743, ami=0.6079, time_cost=6.8636s

2022-12-06 02:16:01: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=110, n_clusters=10, nmi=0.5693, ari=0.3503, ami=0.5692, time_cost=6.5378s

2022-12-06 02:16:07: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=120, n_clusters=10, nmi=0.5449, ari=0.2641, ami=0.5448, time_cost=6.5547s

2022-12-06 02:16:14: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=130, n_clusters=10, nmi=0.5400, ari=0.2624, ami=0.5399, time_cost=6.4386s

2022-12-06 02:16:20: mnist_784 datasets process: alg_name=FastDEC, shape=(70000, 784), k_neighbors=140, n_clusters=10, nmi=0.5367, ari=0.2556, ami=0.5366, time_cost=6.3894s

