
2022-12-09 03:45:59: R15 datasets process: alg_name=MeanShift, shape=(600, 2), k_neighbors=(bandwidth=0.1), n_clusters=15, nmi=0.8927, ari=0.7673, ami=0.8855, time_cost=2.0022s

2022-12-09 03:46:01: R15 datasets process: alg_name=MeanShift, shape=(600, 2), k_neighbors=(bandwidth=0.2), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=3.5385s

2022-12-09 03:49:03: S2 datasets process: alg_name=MeanShift, shape=(5000, 2), k_neighbors=(bandwidth=0.1), n_clusters=15, nmi=0.9462, ari=0.9383, ami=0.9458, time_cost=16.9326s

2022-12-09 03:49:46: S2 datasets process: alg_name=MeanShift, shape=(5000, 2), k_neighbors=(bandwidth=0.2), n_clusters=15, nmi=0.6837, ari=0.4105, ami=0.6827, time_cost=60.2190s

2022-12-09 03:50:42: S2 datasets process: alg_name=MeanShift, shape=(5000, 2), k_neighbors=(bandwidth=0.3), n_clusters=15, nmi=0.5246, ari=0.2297, ami=0.5239, time_cost=116.0138s

2022-12-09 04:25:36: Flame datasets process: alg_name=MeanShift, shape=(240, 2), k_neighbors=(bandwidth=0.1), n_clusters=2, nmi=0.3288, ari=0.0741, ami=0.3102, time_cost=0.9851s

2022-12-09 04:25:37: Flame datasets process: alg_name=MeanShift, shape=(240, 2), k_neighbors=(bandwidth=0.2), n_clusters=2, nmi=0.4371, ari=0.2990, ami=0.4320, time_cost=2.4587s

2022-12-09 04:25:39: Flame datasets process: alg_name=MeanShift, shape=(240, 2), k_neighbors=(bandwidth=0.3), n_clusters=2, nmi=0.4343, ari=0.4763, ami=0.4325, time_cost=4.3623s

2022-12-09 04:27:15: banana-ball datasets process: alg_name=MeanShift, shape=(2000, 2), k_neighbors=(bandwidth=0.1), n_clusters=3, nmi=0.5727, ari=0.3657, ami=0.5711, time_cost=15.8373s

2022-12-09 04:27:40: banana-ball datasets process: alg_name=MeanShift, shape=(2000, 2), k_neighbors=(bandwidth=0.2), n_clusters=3, nmi=0.6295, ari=0.5774, ami=0.6290, time_cost=40.8420s

2022-12-09 04:27:57: banana-ball datasets process: alg_name=MeanShift, shape=(2000, 2), k_neighbors=(bandwidth=0.3), n_clusters=3, nmi=0.5415, ari=0.5579, ami=0.5410, time_cost=57.6650s

2022-12-09 04:40:09: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.1), n_clusters=3, nmi=0.3502, ari=0.0099, ami=0.0826, time_cost=0.3860s

2022-12-09 04:40:10: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.2), n_clusters=3, nmi=0.4554, ari=0.2007, ami=0.4024, time_cost=1.5163s

2022-12-09 04:40:12: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.3), n_clusters=3, nmi=0.6274, ari=0.6058, ami=0.6189, time_cost=2.7896s

2022-12-09 04:40:13: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.4), n_clusters=3, nmi=0.6900, ari=0.7237, ami=0.6872, time_cost=4.4641s

2022-12-09 04:40:15: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.5), n_clusters=3, nmi=0.5622, ari=0.4858, ami=0.5598, time_cost=5.8397s

2022-12-09 04:40:17: seeds datasets process: alg_name=MeanShift, shape=(210, 7), k_neighbors=(bandwidth=0.6), n_clusters=3, nmi=0.5275, ari=0.4517, ami=0.5249, time_cost=7.5849s

2022-12-09 04:41:39: banknote datasets process: alg_name=MeanShift, shape=(1372, 4), k_neighbors=(bandwidth=0.1), n_clusters=2, nmi=0.3044, ari=0.0585, ami=0.2974, time_cost=6.2640s

2022-12-09 04:41:51: banknote datasets process: alg_name=MeanShift, shape=(1372, 4), k_neighbors=(bandwidth=0.2), n_clusters=2, nmi=0.2663, ari=0.1781, ami=0.2646, time_cost=18.7947s

2022-12-09 04:51:35: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.1), n_clusters=7, nmi=0.4657, ari=0.0322, ami=0.3067, time_cost=14.5162s

2022-12-09 04:52:07: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.2), n_clusters=7, nmi=0.5463, ari=0.1544, ami=0.5017, time_cost=46.5244s

2022-12-09 04:52:55: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.3), n_clusters=7, nmi=0.5816, ari=0.2839, ami=0.5590, time_cost=94.0179s

2022-12-09 04:53:55: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.4), n_clusters=7, nmi=0.5949, ari=0.4826, ami=0.5849, time_cost=154.6179s

2022-12-09 04:55:21: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.5), n_clusters=7, nmi=0.6209, ari=0.4666, ami=0.6143, time_cost=240.0564s

2022-12-09 04:56:20: segmentation datasets process: alg_name=MeanShift, shape=(2310, 19), k_neighbors=(bandwidth=0.6), n_clusters=7, nmi=0.6606, ari=0.4825, ami=0.6574, time_cost=299.4362s

