
2022-12-09 03:01:24: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=0.0188s

2022-12-09 03:01:26: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=3, n_clusters=15, nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=0.0093s

2022-12-09 03:01:28: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=4, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0126s

2022-12-09 03:01:30: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=5, n_clusters=15, nmi=0.9864, ari=0.9821, ami=0.9855, time_cost=0.0080s

2022-12-09 03:01:32: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=6, n_clusters=15, nmi=0.9690, ari=0.9081, ami=0.9668, time_cost=0.0085s

2022-12-09 03:01:34: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=7, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0136s

2022-12-09 03:02:48: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=0.0183s

2022-12-09 03:02:48: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=3, n_clusters=15, nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=0.0087s

2022-12-09 03:02:49: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=4, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0084s

2022-12-09 03:02:50: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=5, n_clusters=15, nmi=0.9864, ari=0.9821, ami=0.9855, time_cost=0.0074s

2022-12-09 03:02:50: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=6, n_clusters=15, nmi=0.9690, ari=0.9081, ami=0.9668, time_cost=0.0084s

2022-12-09 03:02:51: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=7, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0086s

2022-12-11 17:25:43: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=2, n_clusters=15, nmi=0.9401, ari=0.9287, ami=0.9397, time_cost=0.1218s

2022-12-11 17:25:44: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=3, n_clusters=15, nmi=0.9321, ari=0.9108, ami=0.9316, time_cost=0.1070s

2022-12-11 17:25:44: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=4, n_clusters=15, nmi=0.9363, ari=0.9205, ami=0.9358, time_cost=0.0867s

2022-12-11 17:25:45: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=5, n_clusters=15, nmi=0.9373, ari=0.9201, ami=0.9369, time_cost=0.0872s

2022-12-11 17:25:45: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=6, n_clusters=15, nmi=0.9423, ari=0.9316, ami=0.9419, time_cost=0.0863s

2022-12-11 17:25:46: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=7, n_clusters=15, nmi=0.9401, ari=0.9273, ami=0.9397, time_cost=0.0889s

2022-12-11 17:25:47: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=8, n_clusters=15, nmi=0.9434, ari=0.9330, ami=0.9430, time_cost=0.1035s

2022-12-11 17:25:47: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=9, n_clusters=15, nmi=0.9450, ari=0.9370, ami=0.9445, time_cost=0.1057s

2022-12-11 17:25:48: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=10, n_clusters=15, nmi=0.9438, ari=0.9347, ami=0.9433, time_cost=0.1066s

2022-12-11 17:25:49: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=11, n_clusters=15, nmi=0.9438, ari=0.9346, ami=0.9433, time_cost=0.1083s

2022-12-11 17:25:49: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=12, n_clusters=15, nmi=0.9451, ari=0.9367, ami=0.9447, time_cost=0.1116s

2022-12-11 17:25:50: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=13, n_clusters=15, nmi=0.9381, ari=0.9248, ami=0.9377, time_cost=0.1135s

2022-12-11 17:25:51: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=14, n_clusters=15, nmi=0.9412, ari=0.9289, ami=0.9407, time_cost=0.1295s

2022-12-11 17:25:51: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=15, n_clusters=15, nmi=0.9431, ari=0.9332, ami=0.9426, time_cost=0.1291s

2022-12-11 17:25:52: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=16, n_clusters=15, nmi=0.9428, ari=0.9309, ami=0.9424, time_cost=0.0976s

2022-12-11 17:25:53: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=17, n_clusters=15, nmi=0.9417, ari=0.9298, ami=0.9413, time_cost=0.1073s

2022-12-11 17:25:53: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=18, n_clusters=15, nmi=0.9417, ari=0.9307, ami=0.9413, time_cost=0.1494s

2022-12-11 17:25:54: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=19, n_clusters=15, nmi=0.9403, ari=0.9277, ami=0.9398, time_cost=0.1577s

2022-12-11 17:25:55: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=20, n_clusters=15, nmi=0.9409, ari=0.9293, ami=0.9404, time_cost=0.1011s

2022-12-11 17:25:55: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=21, n_clusters=15, nmi=0.9421, ari=0.9313, ami=0.9416, time_cost=0.1639s

2022-12-11 17:25:56: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=22, n_clusters=15, nmi=0.9414, ari=0.9308, ami=0.9410, time_cost=0.0912s

2022-12-11 17:25:56: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=23, n_clusters=15, nmi=0.9437, ari=0.9346, ami=0.9433, time_cost=0.0882s

2022-12-11 17:25:57: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=24, n_clusters=15, nmi=0.9411, ari=0.9300, ami=0.9407, time_cost=0.2007s

2022-12-11 17:25:58: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=25, n_clusters=15, nmi=0.9437, ari=0.9336, ami=0.9433, time_cost=0.1154s

2022-12-11 17:25:59: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=26, n_clusters=15, nmi=0.9444, ari=0.9345, ami=0.9440, time_cost=0.1228s

2022-12-11 17:25:59: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=27, n_clusters=15, nmi=0.9434, ari=0.9329, ami=0.9430, time_cost=0.2046s

2022-12-11 17:26:00: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=28, n_clusters=15, nmi=0.9427, ari=0.9311, ami=0.9422, time_cost=0.2199s

2022-12-11 17:26:01: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=29, n_clusters=15, nmi=0.9435, ari=0.9328, ami=0.9431, time_cost=0.2273s

2022-12-11 17:26:01: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=30, n_clusters=15, nmi=0.9413, ari=0.9306, ami=0.9409, time_cost=0.1575s

2022-12-11 17:26:02: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=31, n_clusters=15, nmi=0.9427, ari=0.9326, ami=0.9422, time_cost=0.2335s

2022-12-11 17:26:03: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=32, n_clusters=15, nmi=0.9430, ari=0.9335, ami=0.9426, time_cost=0.2219s

2022-12-11 17:26:04: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=33, n_clusters=15, nmi=0.9434, ari=0.9340, ami=0.9429, time_cost=0.1712s

2022-12-11 17:26:04: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=34, n_clusters=15, nmi=0.9433, ari=0.9334, ami=0.9428, time_cost=0.2711s

2022-12-11 17:26:05: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=35, n_clusters=15, nmi=0.9436, ari=0.9340, ami=0.9432, time_cost=0.2670s

2022-12-11 17:26:06: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=36, n_clusters=15, nmi=0.9446, ari=0.9355, ami=0.9442, time_cost=0.2863s

2022-12-11 17:26:07: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=37, n_clusters=15, nmi=0.9435, ari=0.9344, ami=0.9431, time_cost=0.1812s

2022-12-11 17:26:07: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=38, n_clusters=15, nmi=0.9438, ari=0.9338, ami=0.9434, time_cost=0.2106s

2022-12-11 17:26:08: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=39, n_clusters=15, nmi=0.9412, ari=0.9295, ami=0.9408, time_cost=0.1533s

2022-12-11 17:26:09: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=40, n_clusters=15, nmi=0.9418, ari=0.9303, ami=0.9413, time_cost=0.1507s

