
2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9852, ari=0.9804, ami=0.9841, time_cost=0.0825s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.9700, ari=0.9517, ami=0.9678, time_cost=0.1912s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.8095, ari=0.4339, ami=0.8007, time_cost=0.2627s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.3353s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.4189s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.5192, ari=0.1058, ami=0.5052, time_cost=0.4962s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.3038, ari=0.0431, ami=0.2923, time_cost=0.5633s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=0.6572s

2022-12-13 23:26:37: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=0.7343s

2022-12-13 23:26:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=0.8158s

2022-12-13 23:26:38: R15 datasets process: alg_name=QuickShift, shape=(600, 2), k_neighbors=None, n_clusters=15, nmi=0.0000, ari=0.0000, ami=0.0000, time_cost=0.9099s

