
2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.6227, ari=0.0282, ami=0.1902, time_cost=0.0068s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=3, n_clusters=15, nmi=0.6703, ari=0.1024, ami=0.4127, time_cost=0.0068s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=4, n_clusters=15, nmi=0.7395, ari=0.2982, ami=0.6127, time_cost=0.0076s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=5, n_clusters=15, nmi=0.8086, ari=0.5294, ami=0.7496, time_cost=0.0075s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=6, n_clusters=15, nmi=0.8719, ari=0.7007, ami=0.8453, time_cost=0.0044s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=7, n_clusters=15, nmi=0.9328, ari=0.8775, ami=0.9232, time_cost=0.0038s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=8, n_clusters=15, nmi=0.9588, ari=0.9332, ami=0.9541, time_cost=0.0040s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=9, n_clusters=15, nmi=0.9733, ari=0.9597, ami=0.9707, time_cost=0.0043s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=10, n_clusters=15, nmi=0.9840, ari=0.9772, ami=0.9826, time_cost=0.0046s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=11, n_clusters=15, nmi=0.9872, ari=0.9823, ami=0.9861, time_cost=0.0048s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=12, n_clusters=15, nmi=0.9872, ari=0.9823, ami=0.9861, time_cost=0.0051s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=13, n_clusters=15, nmi=0.9872, ari=0.9823, ami=0.9861, time_cost=0.0054s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=14, n_clusters=15, nmi=0.9928, ari=0.9910, ami=0.9923, time_cost=0.0057s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=15, n_clusters=15, nmi=0.9879, ari=0.9839, ami=0.9870, time_cost=0.0061s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=16, n_clusters=15, nmi=0.9928, ari=0.9910, ami=0.9923, time_cost=0.0064s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=17, n_clusters=15, nmi=0.9893, ari=0.9857, ami=0.9886, time_cost=0.0066s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=18, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0069s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=19, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0071s

2022-12-09 03:20:18: R15 datasets process: alg_name=QuickshiftPP, shape=(600, 2), k_neighbors=20, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.0075s

