
2022-12-09 03:23:30: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.9737, ari=0.9380, ami=0.9718, time_cost=2.3515s

2022-12-09 03:23:32: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=3, n_clusters=15, nmi=0.9799, ari=0.9689, ami=0.9785, time_cost=2.1532s

2022-12-09 03:23:34: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=4, n_clusters=15, nmi=0.9828, ari=0.9723, ami=0.9815, time_cost=2.1760s

2022-12-09 03:23:37: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=5, n_clusters=15, nmi=0.9905, ari=0.9829, ami=0.9898, time_cost=2.1874s

2022-12-09 03:23:39: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=6, n_clusters=15, nmi=0.9784, ari=0.9634, ami=0.9768, time_cost=2.1631s

2022-12-09 03:23:41: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=7, n_clusters=15, nmi=0.9827, ari=0.9721, ami=0.9815, time_cost=2.1620s

2022-12-09 03:23:43: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=8, n_clusters=15, nmi=0.9856, ari=0.9787, ami=0.9845, time_cost=2.1814s

2022-12-09 03:23:45: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=9, n_clusters=15, nmi=0.9876, ari=0.9823, ami=0.9867, time_cost=2.2286s

2022-12-09 03:23:48: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=10, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=2.2562s

2022-12-09 03:23:50: R15 datasets process: alg_name=SNNDPC, shape=(600, 2), k_neighbors=11, n_clusters=15, nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=2.2670s

