
2022-12-06 18:01:35: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=24, n_clusters=10, nmi=0.1711, ari=0.0110, ami=0.1708, time_cost=29.0529s

2022-12-06 18:01:53: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=25, n_clusters=10, nmi=0.1381, ari=0.0062, ami=0.1377, time_cost=17.4400s

2022-12-06 18:02:08: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=26, n_clusters=10, nmi=0.1915, ari=0.0146, ami=0.1912, time_cost=14.9601s

2022-12-06 18:02:22: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=27, n_clusters=10, nmi=0.1755, ari=0.0123, ami=0.1752, time_cost=13.5491s

2022-12-06 18:02:35: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=28, n_clusters=10, nmi=0.2090, ari=0.0182, ami=0.2087, time_cost=13.1783s

2022-12-06 18:02:47: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=29, n_clusters=10, nmi=0.1959, ari=0.0155, ami=0.1956, time_cost=11.6980s

2022-12-06 18:02:58: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=30, n_clusters=10, nmi=0.2006, ari=0.0150, ami=0.2003, time_cost=11.0156s

2022-12-06 18:03:08: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=31, n_clusters=10, nmi=0.2342, ari=0.0175, ami=0.2339, time_cost=10.2081s

2022-12-06 18:03:18: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=32, n_clusters=10, nmi=0.2628, ari=0.0280, ami=0.2625, time_cost=9.6806s

2022-12-06 18:03:27: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=33, n_clusters=10, nmi=0.2894, ari=0.0378, ami=0.2892, time_cost=9.3808s

2022-12-06 18:03:36: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=34, n_clusters=10, nmi=0.3058, ari=0.0402, ami=0.3055, time_cost=9.1488s

2022-12-06 18:03:45: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=35, n_clusters=10, nmi=0.2920, ari=0.0355, ami=0.2918, time_cost=8.9065s

2022-12-06 18:03:54: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=36, n_clusters=10, nmi=0.2753, ari=0.0292, ami=0.2751, time_cost=8.5900s

2022-12-06 18:04:03: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=37, n_clusters=10, nmi=0.2791, ari=0.0307, ami=0.2788, time_cost=8.6698s

2022-12-06 18:04:21: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=24, n_clusters=10, nmi=0.2379, ari=0.0216, ami=0.2376, time_cost=18.4144s

2022-12-06 18:04:39: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=25, n_clusters=10, nmi=0.2371, ari=0.0214, ami=0.2368, time_cost=17.2338s

2022-12-06 18:04:53: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=26, n_clusters=10, nmi=0.2222, ari=0.0194, ami=0.2219, time_cost=14.7155s

2022-12-06 18:05:07: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=27, n_clusters=10, nmi=0.2272, ari=0.0206, ami=0.2269, time_cost=13.4514s

2022-12-06 18:05:20: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=28, n_clusters=10, nmi=0.2426, ari=0.0259, ami=0.2423, time_cost=13.0446s

2022-12-06 18:05:32: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=29, n_clusters=10, nmi=0.2291, ari=0.0201, ami=0.2289, time_cost=11.5571s

2022-12-06 18:05:43: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=30, n_clusters=10, nmi=0.2423, ari=0.0228, ami=0.2420, time_cost=10.8923s

2022-12-06 18:05:53: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=31, n_clusters=10, nmi=0.2468, ari=0.0288, ami=0.2466, time_cost=10.1653s

2022-12-06 18:06:02: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=32, n_clusters=10, nmi=0.2784, ari=0.0328, ami=0.2781, time_cost=9.6885s

2022-12-06 18:06:12: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=33, n_clusters=10, nmi=0.3158, ari=0.0419, ami=0.3155, time_cost=9.4532s

2022-12-06 18:06:21: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=34, n_clusters=10, nmi=0.3112, ari=0.0388, ami=0.3110, time_cost=9.0718s

2022-12-06 18:06:30: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=35, n_clusters=10, nmi=0.3435, ari=0.0532, ami=0.3433, time_cost=8.8429s

2022-12-06 18:06:39: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=36, n_clusters=10, nmi=0.3254, ari=0.0434, ami=0.3252, time_cost=8.5706s

2022-12-06 18:06:47: mnist_784 datasets process: alg_name=WassDPC(out), shape=(70000, 784), k_neighbors=37, n_clusters=10, nmi=0.3225, ari=0.0425, ami=0.3223, time_cost=8.6174s

2022-12-06 18:07:08: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=24, n_clusters=10, nmi=0.2379, ari=0.0216, ami=0.2376, time_cost=20.8504s

2022-12-06 18:07:28: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=25, n_clusters=10, nmi=0.2371, ari=0.0214, ami=0.2368, time_cost=19.1963s

2022-12-06 18:07:44: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=26, n_clusters=10, nmi=0.2222, ari=0.0194, ami=0.2219, time_cost=16.3716s

2022-12-06 18:07:59: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=27, n_clusters=10, nmi=0.2272, ari=0.0206, ami=0.2269, time_cost=14.8308s

2022-12-06 18:08:13: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=28, n_clusters=10, nmi=0.2426, ari=0.0259, ami=0.2423, time_cost=14.2737s

2022-12-06 18:08:26: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=29, n_clusters=10, nmi=0.2291, ari=0.0201, ami=0.2289, time_cost=12.6399s

2022-12-06 18:08:38: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=30, n_clusters=10, nmi=0.2423, ari=0.0228, ami=0.2420, time_cost=11.7112s

2022-12-06 18:08:49: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=31, n_clusters=10, nmi=0.2468, ari=0.0288, ami=0.2466, time_cost=10.7983s

2022-12-06 18:08:59: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=32, n_clusters=10, nmi=0.2784, ari=0.0328, ami=0.2781, time_cost=10.2024s

2022-12-06 18:09:09: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=33, n_clusters=10, nmi=0.3158, ari=0.0419, ami=0.3155, time_cost=9.8553s

2022-12-06 18:09:18: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=34, n_clusters=10, nmi=0.3112, ari=0.0388, ami=0.3110, time_cost=9.5677s

2022-12-06 18:09:28: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=35, n_clusters=10, nmi=0.3435, ari=0.0532, ami=0.3433, time_cost=9.3321s

2022-12-06 18:09:37: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=36, n_clusters=10, nmi=0.3254, ari=0.0434, ami=0.3252, time_cost=9.0052s

2022-12-06 18:09:46: mnist_784 datasets process: alg_name=WassDPC(out_out), shape=(70000, 784), k_neighbors=37, n_clusters=10, nmi=0.3225, ari=0.0425, ami=0.3223, time_cost=9.0842s

2022-12-06 22:51:25: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=38, n_clusters=10, nmi=0.3104, ari=0.0410, ami=0.3102, time_cost=18.9648s

2022-12-06 22:51:33: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=39, n_clusters=10, nmi=0.3021, ari=0.0410, ami=0.3018, time_cost=7.8191s

2022-12-06 22:51:40: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=40, n_clusters=10, nmi=0.2893, ari=0.0398, ami=0.2891, time_cost=7.3920s

2022-12-06 22:51:47: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=41, n_clusters=10, nmi=0.2832, ari=0.0338, ami=0.2829, time_cost=7.3654s

2022-12-06 22:51:55: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=42, n_clusters=10, nmi=0.3011, ari=0.0389, ami=0.3009, time_cost=7.2218s

2022-12-06 22:52:02: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=43, n_clusters=10, nmi=0.3054, ari=0.0399, ami=0.3051, time_cost=6.8526s

2022-12-06 22:52:09: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=44, n_clusters=10, nmi=0.3461, ari=0.0510, ami=0.3458, time_cost=6.8241s

2022-12-06 22:52:15: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=45, n_clusters=10, nmi=0.3561, ari=0.0557, ami=0.3559, time_cost=6.6914s

2022-12-06 22:52:22: mnist_784 datasets process: alg_name=WassDPC(in), shape=(70000, 784), k_neighbors=46, n_clusters=10, nmi=0.3341, ari=0.0472, ami=0.3338, time_cost=6.7421s

