
2022-10-08 23:19:41: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=3, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=4.5786s

2022-10-08 23:19:41: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=4, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5077s

2022-10-08 23:19:42: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=5, n_clusters=15 nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=0.5691s

2022-10-08 23:19:42: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=6, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6751s

2022-10-08 23:19:43: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=7, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8540s

2022-10-08 23:19:44: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=8, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5859s

2022-10-08 23:19:44: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=9, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5126s

2022-10-08 23:19:45: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=10, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4958s

2022-10-08 23:19:46: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=11, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6722s

2022-10-08 23:19:46: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=12, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.7200s

2022-10-08 23:19:47: R15 datasets process:  alg_name=WassDPC(in), shape=(600, 2), k_neighbors=13, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8331s

2022-10-08 23:19:48: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=3, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8676s

2022-10-08 23:19:48: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=4, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5056s

2022-10-08 23:19:49: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=5, n_clusters=15 nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=0.5704s

2022-10-08 23:19:50: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=6, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6818s

2022-10-08 23:19:51: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=7, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8565s

2022-10-08 23:19:51: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=8, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5858s

2022-10-08 23:19:52: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=9, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5135s

2022-10-08 23:19:52: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=10, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.4940s

2022-10-08 23:19:53: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=11, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6724s

2022-10-08 23:19:54: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=12, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.7192s

2022-10-08 23:19:54: R15 datasets process:  alg_name=WassDPC(out), shape=(600, 2), k_neighbors=13, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8377s

2022-10-08 23:19:56: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=3, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=1.2461s

2022-10-08 23:19:56: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=4, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5608s

2022-10-08 23:19:57: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=5, n_clusters=15 nmi=0.9893, ari=0.9857, ami=0.9885, time_cost=0.6155s

2022-10-08 23:19:58: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=6, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.7222s

2022-10-08 23:19:59: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=7, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8959s

2022-10-08 23:19:59: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=8, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6171s

2022-10-08 23:20:00: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=9, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5336s

2022-10-08 23:20:00: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=10, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.5160s

2022-10-08 23:20:01: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=11, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.6904s

2022-10-08 23:20:02: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=12, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.7396s

2022-10-08 23:20:02: R15 datasets process:  alg_name=WassDPC(out_out), shape=(600, 2), k_neighbors=13, n_clusters=15 nmi=0.9942, ari=0.9928, ami=0.9938, time_cost=0.8504s

2022-10-08 23:21:34: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=3, n_clusters=15 nmi=0.6793, ari=0.3101, ami=0.6764, time_cost=91.6417s

2022-10-08 23:23:29: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=6, n_clusters=15 nmi=0.7199, ari=0.2923, ami=0.7174, time_cost=114.5860s

2022-10-08 23:26:09: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=9, n_clusters=15 nmi=0.7620, ari=0.3783, ami=0.7600, time_cost=159.7473s

2022-10-08 23:29:19: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=13, n_clusters=15 nmi=0.8583, ari=0.6803, ami=0.8571, time_cost=190.4202s

2022-10-08 23:32:33: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=16, n_clusters=15 nmi=0.8816, ari=0.7313, ami=0.8807, time_cost=193.8447s

2022-10-08 23:36:15: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=19, n_clusters=15 nmi=0.9210, ari=0.8585, ami=0.9204, time_cost=221.7309s

2022-10-08 23:38:14: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=23, n_clusters=15 nmi=0.9436, ari=0.9333, ami=0.9432, time_cost=119.1997s

2022-10-08 23:39:55: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=26, n_clusters=15 nmi=0.9366, ari=0.9221, ami=0.9362, time_cost=101.1892s

2022-10-08 23:41:49: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=29, n_clusters=15 nmi=0.9438, ari=0.9333, ami=0.9434, time_cost=113.9883s

2022-10-08 23:44:00: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=33, n_clusters=15 nmi=0.9452, ari=0.9367, ami=0.9448, time_cost=130.8754s

2022-10-08 23:44:00: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=36, n_clusters=15 nmi=0.9452, ari=0.9367, ami=0.9448, time_cost=0.1652s

2022-10-08 23:44:00: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=39, n_clusters=15 nmi=0.9452, ari=0.9367, ami=0.9448, time_cost=0.1690s

2022-10-08 23:44:00: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=43, n_clusters=15 nmi=0.9445, ari=0.9355, ami=0.9441, time_cost=0.1725s

2022-10-08 23:44:01: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=46, n_clusters=15 nmi=0.9445, ari=0.9355, ami=0.9441, time_cost=0.1772s

2022-10-08 23:44:01: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=49, n_clusters=15 nmi=0.9449, ari=0.9359, ami=0.9445, time_cost=0.1783s

2022-10-08 23:44:01: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=53, n_clusters=15 nmi=0.9447, ari=0.9355, ami=0.9443, time_cost=0.1827s

2022-10-08 23:44:01: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=56, n_clusters=15 nmi=0.9447, ari=0.9355, ami=0.9443, time_cost=0.1879s

2022-10-08 23:44:01: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=59, n_clusters=15 nmi=0.9423, ari=0.9313, ami=0.9419, time_cost=0.1890s

2022-10-08 23:44:02: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=63, n_clusters=15 nmi=0.9411, ari=0.9296, ami=0.9406, time_cost=0.1919s

2022-10-08 23:44:02: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=66, n_clusters=15 nmi=0.9405, ari=0.9285, ami=0.9400, time_cost=0.1949s

2022-10-08 23:44:02: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=70, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.1978s

2022-10-08 23:44:02: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=73, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2020s

2022-10-08 23:44:03: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=76, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2046s

2022-10-08 23:44:03: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=79, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2079s

2022-10-08 23:44:03: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=83, n_clusters=15 nmi=0.9401, ari=0.9281, ami=0.9397, time_cost=0.2109s

2022-10-08 23:44:03: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=86, n_clusters=15 nmi=0.9400, ari=0.9274, ami=0.9395, time_cost=0.2146s

2022-10-08 23:44:03: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=90, n_clusters=15 nmi=0.9381, ari=0.9248, ami=0.9377, time_cost=0.2205s

2022-10-08 23:44:04: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=93, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2231s

2022-10-08 23:44:04: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=96, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2257s

2022-10-08 23:44:04: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=99, n_clusters=15 nmi=0.9384, ari=0.9252, ami=0.9380, time_cost=0.2283s

2022-10-08 23:44:04: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=103, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2333s

2022-10-08 23:44:05: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=106, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2357s

2022-10-08 23:44:05: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=110, n_clusters=15 nmi=0.9387, ari=0.9226, ami=0.9382, time_cost=0.2386s

2022-10-08 23:44:05: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=113, n_clusters=15 nmi=0.9391, ari=0.9260, ami=0.9386, time_cost=0.2421s

2022-10-08 23:44:05: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=116, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2453s

2022-10-08 23:44:06: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=119, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2480s

2022-10-08 23:44:06: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=123, n_clusters=15 nmi=0.9393, ari=0.9264, ami=0.9389, time_cost=0.2548s

2022-10-08 23:44:06: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=126, n_clusters=15 nmi=0.9391, ari=0.9260, ami=0.9387, time_cost=0.2580s

2022-10-08 23:44:06: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=130, n_clusters=15 nmi=0.9392, ari=0.9260, ami=0.9387, time_cost=0.2615s

2022-10-08 23:44:07: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=133, n_clusters=15 nmi=0.9392, ari=0.9260, ami=0.9387, time_cost=0.2628s

2022-10-08 23:44:07: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=136, n_clusters=15 nmi=0.9409, ari=0.9290, ami=0.9405, time_cost=0.2663s

2022-10-08 23:44:07: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=140, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2716s

2022-10-08 23:44:08: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=143, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2769s

2022-10-08 23:44:08: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=146, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2773s

2022-10-08 23:44:08: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=150, n_clusters=15 nmi=0.9415, ari=0.9298, ami=0.9411, time_cost=0.2821s

2022-10-08 23:44:09: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=153, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2847s

2022-10-08 23:44:09: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=156, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2873s

2022-10-08 23:44:09: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=159, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2918s

2022-10-08 23:44:09: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=163, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2955s

2022-10-08 23:44:10: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=166, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.2996s

2022-10-08 23:44:10: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=170, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3003s

2022-10-08 23:44:10: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=173, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3035s

2022-10-08 23:44:11: S2 datasets process:  alg_name=WassDPC(in), shape=(5000, 2), k_neighbors=176, n_clusters=15 nmi=0.9412, ari=0.9294, ami=0.9408, time_cost=0.3082s

2022-10-08 23:45:39: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=3, n_clusters=15 nmi=0.9041, ari=0.8324, ami=0.9034, time_cost=87.8800s

2022-10-08 23:47:31: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=6, n_clusters=15 nmi=0.8900, ari=0.8074, ami=0.8892, time_cost=112.7561s

2022-10-08 23:50:10: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=9, n_clusters=15 nmi=0.9117, ari=0.8461, ami=0.9111, time_cost=158.2301s

2022-10-08 23:53:19: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=13, n_clusters=15 nmi=0.8648, ari=0.7499, ami=0.8638, time_cost=189.4932s

2022-10-08 23:56:32: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=16, n_clusters=15 nmi=0.8752, ari=0.7716, ami=0.8743, time_cost=193.2913s

2022-10-09 00:00:14: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=19, n_clusters=15 nmi=0.8994, ari=0.8283, ami=0.8986, time_cost=221.5048s

2022-10-09 00:02:13: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=23, n_clusters=15 nmi=0.8837, ari=0.7512, ami=0.8828, time_cost=119.1925s

2022-10-09 00:03:54: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=26, n_clusters=15 nmi=0.9114, ari=0.8390, ami=0.9107, time_cost=101.0288s

2022-10-09 00:05:48: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=29, n_clusters=15 nmi=0.9195, ari=0.8553, ami=0.9189, time_cost=113.6437s

2022-10-09 00:07:58: S2 datasets process:  alg_name=WassDPC(out), shape=(5000, 2), k_neighbors=33, n_clusters=15 nmi=0.9217, ari=0.8614, ami=0.9211, time_cost=130.4269s

