
2022-11-13 03:45:17: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=13, nmi=0.0037, ari=-0.0009, ami=0.0023, time_cost=15.5753s

2022-11-13 03:45:31: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=20, nmi=0.0162, ari=-0.0037, ami=0.0152, time_cost=13.9012s

2022-11-13 03:45:51: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=27, nmi=0.0551, ari=0.0163, ami=0.0542, time_cost=20.5244s

2022-11-13 03:46:03: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=34, nmi=0.0551, ari=0.0163, ami=0.0542, time_cost=11.9322s

2022-11-13 03:46:17: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=41, nmi=0.0551, ari=0.0163, ami=0.0542, time_cost=14.3962s

2022-11-13 03:46:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=48, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=12.6382s

2022-11-13 03:46:44: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=54, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=13.9172s

2022-11-13 03:47:00: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=61, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=15.8395s

2022-11-13 03:47:17: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=68, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=16.7797s

2022-11-13 03:47:35: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=75, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=18.8218s

2022-11-13 03:47:58: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=82, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=22.5105s

2022-11-13 03:48:21: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=89, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=22.5756s

2022-11-13 03:48:44: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=96, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=23.6685s

2022-11-13 03:49:11: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=102, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=26.6465s

2022-11-13 03:49:24: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=109, nmi=0.2211, ari=0.1332, ami=0.2206, time_cost=13.1637s

2022-11-13 03:49:29: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=116, nmi=0.2069, ari=0.1310, ami=0.2064, time_cost=5.2570s

2022-11-13 03:49:29: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=123, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0461s

2022-11-13 03:49:29: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=130, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0468s

2022-11-13 03:49:29: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=137, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0428s

2022-11-13 03:49:29: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=144, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0432s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=150, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0428s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=157, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0427s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=164, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0431s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=171, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0430s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=178, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0473s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=185, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0436s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=192, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0432s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=198, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0437s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=205, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0439s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=212, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0436s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=219, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0438s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=226, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0444s

2022-11-13 03:49:30: banknote datasets process:  alg_name=WassDPC(in), shape=(1372, 4), n_clusters=2, k_neighbors=233, nmi=0.9235, ari=0.9567, ami=0.9234, time_cost=0.0445s

