
2022-11-13 00:14:57: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=9, nmi=0.0546, ari=0.0042, ami=0.0526, time_cost=383.8040s

2022-11-13 00:26:27: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=18, nmi=0.0690, ari=0.0061, ami=0.0671, time_cost=690.6658s

2022-11-13 00:43:28: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=27, nmi=0.1216, ari=0.0165, ami=0.1199, time_cost=1021.0106s

2022-11-13 00:50:08: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=36, nmi=0.6313, ari=0.3815, ami=0.6308, time_cost=399.6476s

2022-11-13 00:55:31: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=45, nmi=0.6474, ari=0.3968, ami=0.6469, time_cost=323.4967s

2022-11-13 01:01:57: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=54, nmi=0.6483, ari=0.3971, ami=0.6479, time_cost=385.6559s

2022-11-13 01:09:28: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=63, nmi=0.6455, ari=0.3979, ami=0.6450, time_cost=450.6498s

2022-11-13 01:17:50: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=72, nmi=0.6454, ari=0.3985, ami=0.6449, time_cost=502.2035s

2022-11-13 01:24:21: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=81, nmi=0.6484, ari=0.4131, ami=0.6480, time_cost=391.1762s

2022-11-13 01:31:41: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=90, nmi=0.6464, ari=0.4125, ami=0.6460, time_cost=439.5830s

2022-11-13 01:39:38: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=99, nmi=0.6489, ari=0.4160, ami=0.6484, time_cost=477.3792s

2022-11-13 01:39:39: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=108, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.3919s

2022-11-13 01:39:39: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=117, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3273s

2022-11-13 01:39:39: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=126, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3021s

2022-11-13 01:50:19: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=135, nmi=0.6486, ari=0.4160, ami=0.6482, time_cost=639.5757s

2022-11-13 02:01:48: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=144, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=689.2719s

2022-11-13 02:01:49: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=153, nmi=0.8296, ari=0.7346, ami=0.8294, time_cost=0.4152s

2022-11-13 02:01:49: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=162, nmi=0.8130, ari=0.6864, ami=0.8128, time_cost=0.3634s

2022-11-13 02:01:49: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=171, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3357s

2022-11-13 02:01:50: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=180, nmi=0.8126, ari=0.6852, ami=0.8124, time_cost=0.3333s

2022-11-13 02:17:28: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=189, nmi=0.6464, ari=0.4125, ami=0.6460, time_cost=938.8878s

2022-11-13 02:33:35: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=198, nmi=0.6486, ari=0.4160, ami=0.6482, time_cost=966.4739s

2022-11-13 02:50:32: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=207, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=1016.8465s

2022-11-13 03:08:16: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=216, nmi=0.6480, ari=0.4146, ami=0.6476, time_cost=1064.0378s

2022-11-13 03:08:16: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=225, nmi=0.8300, ari=0.7351, ami=0.8298, time_cost=0.4443s

2022-11-13 03:08:17: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=234, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.4114s

2022-11-13 03:08:17: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=243, nmi=0.8130, ari=0.6863, ami=0.8127, time_cost=0.3743s

2022-11-13 03:08:18: phoneme datasets process:  alg_name=WassDPC(in), shape=(4509, 256), n_clusters=5, k_neighbors=252, nmi=0.8127, ari=0.6856, ami=0.8125, time_cost=0.3766s

