
2022-11-13 03:47:24: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=9, nmi=0.0068, ari=0.0000, ami=0.0011, time_cost=52.4912s

2022-11-13 03:48:12: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=13, nmi=0.0060, ari=0.0000, ami=0.0005, time_cost=47.6424s

2022-11-13 03:48:56: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=16, nmi=0.0068, ari=0.0000, ami=0.0010, time_cost=43.9374s

2022-11-13 03:49:48: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=19, nmi=0.0060, ari=0.0000, ami=0.0005, time_cost=52.6745s

2022-11-13 03:50:51: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=23, nmi=0.0638, ari=0.0025, ami=0.0572, time_cost=62.7912s

2022-11-13 03:52:07: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=26, nmi=0.0384, ari=0.0004, ami=0.0313, time_cost=76.1026s

2022-11-13 03:53:18: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=29, nmi=0.0549, ari=0.0018, ami=0.0483, time_cost=71.0170s

2022-11-13 03:54:20: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=33, nmi=0.0709, ari=0.0015, ami=0.0639, time_cost=61.5135s

2022-11-13 03:55:28: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=36, nmi=0.0729, ari=0.0015, ami=0.0658, time_cost=68.5120s

2022-11-13 03:56:42: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=39, nmi=0.1323, ari=0.0047, ami=0.1262, time_cost=74.0955s

2022-11-13 03:58:00: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=42, nmi=0.1472, ari=0.0099, ami=0.1416, time_cost=77.2312s

2022-11-13 03:59:26: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=46, nmi=0.1472, ari=0.0099, ami=0.1416, time_cost=86.2840s

2022-11-13 04:00:57: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=49, nmi=0.1838, ari=0.0128, ami=0.1787, time_cost=91.2388s

2022-11-13 04:02:38: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=52, nmi=0.1078, ari=0.0071, ami=0.1018, time_cost=100.7022s

2022-11-13 04:04:16: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=56, nmi=0.1217, ari=0.0075, ami=0.1163, time_cost=98.3592s

2022-11-13 04:05:25: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=59, nmi=0.3688, ari=0.1070, ami=0.3653, time_cost=68.4684s

2022-11-13 04:06:38: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=62, nmi=0.3746, ari=0.1085, ami=0.3711, time_cost=73.2471s

2022-11-13 04:07:53: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=66, nmi=0.3667, ari=0.1059, ami=0.3630, time_cost=75.2538s

2022-11-13 04:09:16: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=69, nmi=0.3667, ari=0.1059, ami=0.3630, time_cost=82.7899s

2022-11-13 04:10:39: segmentation datasets process:  alg_name=WassDPC(in), shape=(2310, 19), n_clusters=7, k_neighbors=72, nmi=0.3667, ari=0.1059, ami=0.3630, time_cost=83.1274s

