
2022-11-14 03:47:05: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=70, nmi=0.0556, ari=0.0010, ami=0.0552, time_cost=57698.0912s

2022-11-14 03:47:22: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=140, nmi=0.6429, ari=0.3754, ami=0.6428, time_cost=17.4019s

2022-11-14 03:47:40: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=210, nmi=0.5510, ari=0.2213, ami=0.5509, time_cost=17.3309s

2022-11-14 03:47:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=280, nmi=0.5573, ari=0.2393, ami=0.5571, time_cost=14.8612s

2022-11-14 03:48:10: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=350, nmi=0.6239, ari=0.3878, ami=0.6238, time_cost=14.7175s

2022-11-14 03:48:23: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=420, nmi=0.6226, ari=0.4197, ami=0.6225, time_cost=13.6691s

2022-11-14 03:48:39: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=490, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=15.5256s

2022-11-14 03:48:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=560, nmi=0.6210, ari=0.3867, ami=0.6208, time_cost=16.0616s

2022-11-14 03:49:10: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=630, nmi=0.6243, ari=0.4348, ami=0.6242, time_cost=14.4866s

2022-11-14 03:49:28: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=700, nmi=0.6243, ari=0.3877, ami=0.6242, time_cost=18.2725s

2022-11-14 03:49:48: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=770, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=19.6862s

2022-11-14 03:50:05: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=840, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=17.1025s

2022-11-14 03:50:23: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=910, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=17.4953s

2022-11-14 03:50:45: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=980, nmi=0.5653, ari=0.2606, ami=0.5652, time_cost=21.5683s

2022-11-14 03:51:06: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1050, nmi=0.6234, ari=0.3874, ami=0.6233, time_cost=21.6253s

2022-11-14 03:51:30: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1120, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=23.2660s

2022-11-14 03:51:50: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1190, nmi=0.6337, ari=0.4335, ami=0.6336, time_cost=20.4944s

2022-11-14 03:52:10: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1260, nmi=0.6281, ari=0.4384, ami=0.6280, time_cost=19.3907s

2022-11-14 03:52:36: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1330, nmi=0.5545, ari=0.2473, ami=0.5544, time_cost=25.4197s

2022-11-14 03:53:01: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1400, nmi=0.5650, ari=0.2602, ami=0.5649, time_cost=25.3847s

2022-11-14 03:53:27: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1470, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=25.6582s

2022-11-14 03:53:53: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1540, nmi=0.6224, ari=0.3868, ami=0.6223, time_cost=26.3720s

2022-11-14 03:54:20: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1610, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=26.7286s

2022-11-14 03:54:48: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1680, nmi=0.6198, ari=0.3862, ami=0.6197, time_cost=28.0000s

2022-11-14 03:55:11: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1750, nmi=0.6225, ari=0.4195, ami=0.6224, time_cost=22.9396s

2022-11-14 03:55:36: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1820, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=24.1860s

2022-11-14 03:56:06: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1890, nmi=0.5546, ari=0.2474, ami=0.5545, time_cost=30.1932s

2022-11-14 03:56:38: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=1960, nmi=0.5922, ari=0.3325, ami=0.5921, time_cost=31.6902s

2022-11-14 03:57:09: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2029, nmi=0.6242, ari=0.3876, ami=0.6241, time_cost=30.9994s

2022-11-14 03:57:41: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2100, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=31.8740s

2022-11-14 03:58:13: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2170, nmi=0.6228, ari=0.3869, ami=0.6227, time_cost=32.0979s

2022-11-14 03:58:49: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2240, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=35.3654s

2022-11-14 03:59:22: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2310, nmi=0.6233, ari=0.3884, ami=0.6232, time_cost=32.6468s

2022-11-14 03:59:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2380, nmi=0.6206, ari=0.3865, ami=0.6205, time_cost=33.5462s

2022-11-14 04:00:24: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2450, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=29.0153s

2022-11-14 04:00:54: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2520, nmi=0.6233, ari=0.4209, ami=0.6232, time_cost=29.6158s

2022-11-14 04:01:24: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2590, nmi=0.6282, ari=0.4384, ami=0.6281, time_cost=29.9016s

2022-11-14 04:01:55: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2660, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=30.3937s

2022-11-14 04:02:33: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2730, nmi=0.4860, ari=0.1448, ami=0.4859, time_cost=38.3400s

2022-11-14 04:03:13: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2800, nmi=0.5480, ari=0.2290, ami=0.5479, time_cost=39.8743s

2022-11-14 04:03:53: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2870, nmi=0.5414, ari=0.2132, ami=0.5412, time_cost=39.7123s

2022-11-14 04:04:34: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=2940, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=40.8520s

2022-11-14 04:05:15: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3010, nmi=0.6236, ari=0.3876, ami=0.6235, time_cost=40.5876s

2022-11-14 04:05:57: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3080, nmi=0.6231, ari=0.3873, ami=0.6230, time_cost=41.8054s

2022-11-14 04:06:39: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3150, nmi=0.6224, ari=0.3867, ami=0.6223, time_cost=42.3736s

2022-11-14 04:07:22: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3220, nmi=0.6238, ari=0.3888, ami=0.6237, time_cost=43.0585s

2022-11-14 04:08:05: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3290, nmi=0.6234, ari=0.3884, ami=0.6233, time_cost=42.8329s

2022-11-14 04:08:51: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3360, nmi=0.6207, ari=0.3866, ami=0.6206, time_cost=45.2575s

2022-11-14 04:09:36: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3430, nmi=0.6198, ari=0.3862, ami=0.6197, time_cost=44.8750s

2022-11-14 04:10:12: mnist_784 datasets process:  alg_name=WassDPC(in), shape=(70000, 784), n_clusters=10, k_neighbors=3500, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=36.6183s

2022-11-14 20:09:29: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=70, nmi=0.0504, ari=0.0007, ami=0.0499, time_cost=57556.7694s

2022-11-14 20:09:47: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=140, nmi=0.5130, ari=0.1791, ami=0.5129, time_cost=17.6983s

2022-11-14 20:10:05: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=210, nmi=0.5038, ari=0.1850, ami=0.5036, time_cost=17.3404s

2022-11-14 20:10:19: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=280, nmi=0.4921, ari=0.1602, ami=0.4919, time_cost=14.7792s

2022-11-14 20:10:34: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=350, nmi=0.6239, ari=0.3878, ami=0.6238, time_cost=14.9085s

2022-11-14 20:10:48: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=420, nmi=0.6226, ari=0.4197, ami=0.6225, time_cost=13.8338s

2022-11-14 20:11:06: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=490, nmi=0.6242, ari=0.3879, ami=0.6241, time_cost=16.9076s

2022-11-14 20:11:23: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=560, nmi=0.6210, ari=0.3867, ami=0.6208, time_cost=17.3099s

2022-11-14 20:11:38: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=630, nmi=0.6243, ari=0.4348, ami=0.6242, time_cost=15.2042s

2022-11-14 20:11:57: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=700, nmi=0.6243, ari=0.3877, ami=0.6242, time_cost=18.1945s

2022-11-14 20:12:16: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=770, nmi=0.6239, ari=0.3888, ami=0.6238, time_cost=19.2792s

2022-11-14 20:12:33: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=840, nmi=0.6319, ari=0.4326, ami=0.6318, time_cost=16.9638s

2022-11-14 20:12:50: mnist_784 datasets process:  alg_name=WassDPC(out), shape=(70000, 784), n_clusters=10, k_neighbors=910, nmi=0.6227, ari=0.4324, ami=0.6226, time_cost=17.1449s

